celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_ENDOTHELIAL,272,4,0.000757416531908694,0.0133824932585495
Lymphoid cell | Mouse | CellMarker,CellMarker,Mouse,,Lymphoid cell,28,2,0.000808535135330958,0.0141214843463838
Th1_rankRelative | SaVanT,SaVanT,,,Th1_rankRelative,28,2,0.000808535135330958,0.0141214843463838
DENDRITIC CELL | ARCHS4,ARCHS4,,,DENDRITIC CELL,1112,7,0.00108125982047925,0.0187768491110653
MPP_FANTOM_1 | Human | xCell,xCell,Human,,MPP_FANTOM_1,33,2,0.00112419917046425,0.0194115981763684
CD8+ T-cells_BLUEPRINT_2 | Human | xCell,xCell,Human,,CD8+ T-cells_BLUEPRINT_2,35,2,0.00126452490807242,0.0215892763799556
CD8+ T-cells_FANTOM_1 | Human | xCell,xCell,Human,,CD8+ T-cells_FANTOM_1,35,2,0.00126452490807242,0.0215892763799556
Natural killer cell | Mouse | CellMarker,CellMarker,Mouse,,Natural killer cell,36,2,0.00133767790833126,0.0227106321978698
T memory cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T memory cells,38,2,0.00148993587319755,0.0251550839924853
MPP_FANTOM_2 | Human | xCell,xCell,Human,,MPP_FANTOM_2,39,2,0.0015690295522499,0.0261993451059749
Mural cell | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Mural cell,37,2,0.0015690295522499,0.0261993451059749
T memory cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T memory cells,40,2,0.00190503777286604,0.0316361190805459
HAY_BONE_MARROW_CD8_T_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_CD8_T_CELL,43,2,0.00208474365523118,0.0342461403689057
T cell | Mouse | CellMarker,CellMarker,Mouse,,T cell,44,2,0.00208474365523118,0.0342461403689057
dendritic_cells_myeloid_CD8a-_ | SaVanT,SaVanT,,,dendritic_cells_myeloid_CD8a-_,50,2,0.00256778166304364,0.0359050420283905
dendritic_plasmacytoid_B220+ | SaVanT,SaVanT,,,dendritic_plasmacytoid_B220+,50,2,0.00256778166304364,0.0359050420283905
HPCA_Dendritic_cells_plasmacytoid+ | Human | SaVanT,SaVanT,Human,,HPCA_Dendritic_cells_plasmacytoid+,50,2,0.00256778166304364,0.0359050420283905
HPCA_Platelets | Human | SaVanT,SaVanT,Human,,HPCA_Platelets,50,2,0.00256778166304364,0.0359050420283905
IFNB_2 | SaVanT,SaVanT,,,IFNB_2,50,2,0.00256778166304364,0.0359050420283905
IMGN_DC_4+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_4+_Sp,50,2,0.00256778166304364,0.0359050420283905
IMGN_DC_pDC_8-_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8-_Sp,50,2,0.00256778166304364,0.0359050420283905
IMGN_DC_pDC_8+_MLN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_MLN,50,2,0.00256778166304364,0.0359050420283905
IMGN_DC_pDC_8+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_DC_pDC_8+_Sp,50,2,0.00256778166304364,0.0359050420283905
IMGN_MLP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_MLP_BM,50,2,0.00256778166304364,0.0359050420283905
IMGN_NKT_44-NK1_1-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_NKT_44-NK1_1-_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_preT_DN2_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN2_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_preT_DN2A_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_DN2A_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_preT_ETP_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_ETP_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_preT_ETP-2A_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_preT_ETP-2A_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_SC_CDP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_CDP_BM,50,2,0.00256778166304364,0.0359050420283905
IMGN_SC_GMP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_GMP_BM,50,2,0.00256778166304364,0.0359050420283905
IMGN_SC_MDP_BM | Mouse | SaVanT,SaVanT,Mouse,,IMGN_SC_MDP_BM,50,2,0.00256778166304364,0.0359050420283905
IMGN_T_4FP3+25+_LN | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3+25+_LN,50,2,0.00256778166304364,0.0359050420283905
IMGN_T_4FP3+25+_Sp | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4FP3+25+_Sp,50,2,0.00256778166304364,0.0359050420283905
IMGN_T_4SP24-_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_T_4SP24-_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_Tgd_vg2+24ahi_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg2+24ahi_Th,50,2,0.00256778166304364,0.0359050420283905
IMGN_Tgd_vg3+24ahi_e17_Th | Mouse | SaVanT,SaVanT,Mouse,,IMGN_Tgd_vg3+24ahi_e17_Th,50,2,0.00256778166304364,0.0359050420283905
lung | SaVanT,SaVanT,,,lung,50,2,0.00256778166304364,0.0359050420283905
MA_M_GMCSF_IFNg_12h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_IFNg_12h,50,2,0.00256778166304364,0.0359050420283905
MA_M_GMCSF_sLPS_IFNg_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_sLPS_IFNg_72h,50,2,0.00256778166304364,0.0359050420283905
MA_M_GMCSF_TPP_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_TPP_72h,50,2,0.00256778166304364,0.0359050420283905
MA_M1_2_GMCSF_24h | Human | SaVanT,SaVanT,Human,,MA_M1_2_GMCSF_24h,50,2,0.00256778166304364,0.0359050420283905
MA_Tresting | Human | SaVanT,SaVanT,Human,,MA_Tresting,50,2,0.00256778166304364,0.0359050420283905
Neutrophil (Renal Cell Carcinoma) | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Neutrophil (Renal Cell Carcinoma),49,2,0.00256778166304364,0.0359050420283905
NonclassicalMonocyte_CD14plusCD16plus | SaVanT,SaVanT,,,NonclassicalMonocyte_CD14plusCD16plus,50,2,0.00256778166304364,0.0359050420283905
TLR_2 | SaVanT,SaVanT,,,TLR_2,50,2,0.00256778166304364,0.0359050420283905
Basophils | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Basophils,51,2,0.00267013474775132,0.0359050420283905
IFNB_24 | SaVanT,SaVanT,,,IFNB_24,50,2,0.00267013474775132,0.0359050420283905
IFNG_6 | SaVanT,SaVanT,,,IFNG_6,50,2,0.00267013474775132,0.0359050420283905
MA_DC_upLPS_10_24h | Human | SaVanT,SaVanT,Human,,MA_DC_upLPS_10_24h,50,2,0.00267013474775132,0.0359050420283905
MA_M_GMCSF_IL4_upLPS_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_IL4_upLPS_72h,50,2,0.00267013474775132,0.0359050420283905
MA_M_GMCSF_sLPS_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_sLPS_72h,50,2,0.00267013474775132,0.0359050420283905
MA_M_GMCSF_sLPS_IC_72h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_sLPS_IC_72h,50,2,0.00267013474775132,0.0359050420283905
MA_M_GMCSF_TPP_48h | Human | SaVanT,SaVanT,Human,,MA_M_GMCSF_TPP_48h,50,2,0.00267013474775132,0.0359050420283905
MF | SaVanT,SaVanT,,,MF,50,2,0.00267013474775132,0.0359050420283905
Basophils | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Basophils,52,2,0.0027743901524172,0.0368182169135191
HBA_Lung | Human | SaVanT,SaVanT,Human,,HBA_Lung,50,2,0.0027743901524172,0.0368182169135191
RR | SaVanT,SaVanT,,,RR,50,2,0.0027743901524172,0.0368182169135191
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS,53,2,0.00288054239577107,0.0377326221583977
HBA_WholeBlood | Human | SaVanT,SaVanT,Human,,HBA_WholeBlood,50,2,0.00288054239577107,0.0377326221583977
IL15_24 | SaVanT,SaVanT,,,IL15_24,50,2,0.00288054239577107,0.0377326221583977
IFNg_24h_NHEK_2 | SaVanT,SaVanT,,,IFNg_24h_NHEK_2,50,2,0.00298858600753636,0.0389798835918584
Lymphoid tissue | Human | TISSUES,TISSUES,Human,,Lymphoid tissue,1345,7,0.00314001713982979,0.0407799661877894
Immune system | Human | TISSUES,TISSUES,Human,,Immune system,1362,7,0.00339618539447222,0.0439191804842598
MANNO_MIDBRAIN_NEUROTYPES_HMGL | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HMGL,422,4,0.00344229544535802,0.0443268468578094
IFNg_10ng_4d_NHEK_12 | SaVanT,SaVanT,,,IFNg_10ng_4d_NHEK_12,50,2,0.00355698390008377,0.045610439123859
MENON_FETAL_KIDNEY_10_IMMUNE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_10_IMMUNE_CELLS,57,2,0.00392037134456985,0.0500588593115453
ZHENG_CORD_BLOOD_C10_MULTILYMPHOID_PROGENITOR | Human | MSigDB,MSigDB,Human,,ZHENG_CORD_BLOOD_C10_MULTILYMPHOID_PROGENITOR,66,2,0.00443065982991781,0.0563379716448545
Microglial cell | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Microglial cell,63,2,0.00469675290751286,0.0592258592777244
Stem cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Stem cell,64,2,0.00469675290751286,0.0592258592777244
Paneth cell | Large intestine | Human | CellMarker,CellMarker,Human,Large intestine,Paneth cell,230,3,0.00496270030231142,0.0623208521434893
GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_24W_C11_PANETH_LIKE_CELL,237,3,0.00539041632129343,0.0671765838544616
Granulocyte-monocyte progenitor | Umbilical cord blood | Human | CellMarker,CellMarker,Human,Umbilical cord blood,Granulocyte-monocyte progenitor,72,2,0.00539357896034506,0.0671765838544616
CD1C-CD141- dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,CD1C-CD141- dendritic cell,239,3,0.00551659057436094,0.0684282398182975
Plasmacytoid dendritic cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Plasmacytoid dendritic cell,251,3,0.00617426791038032,0.076274797478235
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_DENDRITIC_CELLS,79,2,0.00644392809013048,0.0792837954085284
MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_9_ENDOTHELIAL_CELLS,79,2,0.00660101055217895,0.0808889962422251
MURARO_PANCREAS_ENDOTHELIAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_ENDOTHELIAL_CELL,264,3,0.00709709822395762,0.0866188012152899
Macrophages | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Macrophages,85,2,0.0072467147558838,0.0880910645725235
CD8+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD8+ T cell,5,1,0.00754490718362766,0.0906283515061046
Tregs_HPCA_2 | Human | xCell,xCell,Human,,Tregs_HPCA_2,5,1,0.00754490718362766,0.0906283515061046
Tregs_HPCA_3 | Human | xCell,xCell,Human,,Tregs_HPCA_3,5,1,0.00754490718362766,0.0906283515061046
Macrophages | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Macrophages,88,2,0.00774909210308192,0.0927145311073463
HU_FETAL_RETINA_MICROGLIA | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_MICROGLIA,274,3,0.00834055611597516,0.099399804064504
CD4-CD28- T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD4-CD28- T cell,6,1,0.00904734035250665,0.104543221791892
CD4-CD28+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,CD4-CD28+ T cell,6,1,0.00904734035250665,0.104543221791892
CD4+ naive T-cells_FANTOM_3 | Human | xCell,xCell,Human,,CD4+ naive T-cells_FANTOM_3,6,1,0.00904734035250665,0.104543221791892
Natural killer cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Natural killer cell,6,1,0.00904734035250665,0.104543221791892
Natural killer cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Natural killer cell,6,1,0.00904734035250665,0.104543221791892
NK cells_FANTOM_2 | Human | xCell,xCell,Human,,NK cells_FANTOM_2,6,1,0.00904734035250665,0.104543221791892
pDC_FANTOM_2 | Human | xCell,xCell,Human,,pDC_FANTOM_2,6,1,0.00904734035250665,0.104543221791892
Tregs_HPCA_1 | Human | xCell,xCell,Human,,Tregs_HPCA_1,6,1,0.00904734035250665,0.104543221791892
NEUTROPHIL | ARCHS4,ARCHS4,,,NEUTROPHIL,1228,6,0.00929575633700004,0.107006831470239
AIZARANI_LIVER_C32_MVECS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C32_MVECS_3,100,2,0.0102944109894247,0.117611710514517
FAN_EMBRYONIC_CTX_BRAIN_MYELOID | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_MYELOID,98,2,0.0102944109894247,0.117611710514517
CD8+ Tem_BLUEPRINT_1 | Human | xCell,xCell,Human,,CD8+ Tem_BLUEPRINT_1,6,1,0.0105475978019469,0.118280995277183
NK cells_IRIS_3 | Human | xCell,xCell,Human,,NK cells_IRIS_3,7,1,0.0105475978019469,0.118280995277183
T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7,1,0.0105475978019469,0.118280995277183
T cytotoxic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cytotoxic cells,7,1,0.0105475978019469,0.118280995277183
T cytotoxic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cytotoxic cells,7,1,0.0105475978019469,0.118280995277183
Neutrophil | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Neutrophil,94,2,0.0106845296192456,0.119376049679733
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,5,0.0115387826351414,0.128448206696684
Pancreas | Human | TISSUES,TISSUES,Human,,Pancreas,598,4,0.0117118560250615,0.129811451198644
BLOOD DENDRITIC CELLS | ARCHS4,ARCHS4,,,BLOOD DENDRITIC CELLS,917,5,0.0117919534084394,0.129811451198644
Effector T cell | Human | CellMarker,CellMarker,Human,,Effector T cell,8,1,0.012045682539657,0.129811451198644
FAN_EMBRYONIC_CTX_MICROGLIA_2 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_MICROGLIA_2,8,1,0.012045682539657,0.129811451198644
M1 macrophage | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,M1 macrophage,8,1,0.012045682539657,0.129811451198644
Megakaryocyte | Fetal kidney | Human | CellMarker,CellMarker,Human,Fetal kidney,Megakaryocyte,8,1,0.012045682539657,0.129811451198644
Microglial cell (Glioma) | Brain | Human | CellMarker,CellMarker,Human,Brain,Microglial cell (Glioma),8,1,0.012045682539657,0.129811451198644
pDC_FANTOM_1 | Human | xCell,xCell,Human,,pDC_FANTOM_1,8,1,0.012045682539657,0.129811451198644
ZHONG_PFC_C3_HOPX_POS_OPC | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_C3_HOPX_POS_OPC,8,1,0.012045682539657,0.129811451198644
CUI_DEVELOPING_HEART_C7_MAST_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C7_MAST_CELL,113,2,0.0125200104971278,0.134446331804846
Regulatory T (Treg) cell (Hepatocellular Cancer) | Liver | Human | CellMarker,CellMarker,Human,Liver,Regulatory T (Treg) cell (Hepatocellular Cancer),325,3,0.0127051992791413,0.135762585840102
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,114,2,0.0127319305575614,0.135762585840102
CD8+ T cell | Human | CellMarker,CellMarker,Human,,CD8+ T cell,9,1,0.0135415975693861,0.14141895193596
Neuron | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Neuron,9,1,0.0135415975693861,0.14141895193596
NK cells_BLUEPRINT_1 | Human | xCell,xCell,Human,,NK cells_BLUEPRINT_1,9,1,0.0135415975693861,0.14141895193596
NK cells_IRIS_1 | Human | xCell,xCell,Human,,NK cells_IRIS_1,9,1,0.0135415975693861,0.14141895193596
pDC_NOVERSHTERN_1 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_1,9,1,0.0135415975693861,0.14141895193596
T helper1 (Th1) cell | Mouse | CellMarker,CellMarker,Mouse,,T helper1 (Th1) cell,9,1,0.0135415975693861,0.14141895193596
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL,113,2,0.0144836861602193,0.150739459729132
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,2,0.014937114855563,0.154366270819361
CD4+ naive T-cells_IRIS_2 | Human | xCell,xCell,Human,,CD4+ naive T-cells_IRIS_2,10,1,0.0150353458909283,0.154366270819361
pDC_NOVERSHTERN_2 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_2,10,1,0.0150353458909283,0.154366270819361
T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T cell,10,1,0.0150353458909283,0.154366270819361
Mesangial cells_FANTOM_3 | Human | xCell,xCell,Human,,Mesangial cells_FANTOM_3,125,2,0.0151661265067578,0.155184708599451
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C25_KUPFFER_CELLS_4,129,2,0.0163339690615408,0.166573597241686
Effector T cell | Mouse | CellMarker,CellMarker,Mouse,,Effector T cell,11,1,0.0165269305001272,0.167317259364417
Embryonic stem cell | Blood | Mouse | CellMarker,CellMarker,Mouse,Blood,Embryonic stem cell,8,1,0.0165269305001272,0.167317259364417
Granulosa cell | Fetal gonad | Human | CellMarker,CellMarker,Human,Fetal gonad,Granulosa cell,131,2,0.0165720615560018,0.167317259364417
Crypt cells | GI tract | Human | PanglaoDB,PanglaoDB,Human,GI tract,Crypt cells,12,1,0.0180163543888806,0.180104279565158
Crypt cells | GI tract | Mouse | PanglaoDB,PanglaoDB,Mouse,GI tract,Crypt cells,12,1,0.0180163543888806,0.180104279565158
Cytotoxic T cell | Mouse | CellMarker,CellMarker,Mouse,,Cytotoxic T cell,12,1,0.0180163543888806,0.180104279565158
Basophil | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Basophil,12,1,0.0195036205451463,0.191198396247418
Cancer stem cell (Leukemia) | Human | CellMarker,CellMarker,Human,,Cancer stem cell (Leukemia),13,1,0.0195036205451463,0.191198396247418
CD4+ naive T-cells_IRIS_1 | Human | xCell,xCell,Human,,CD4+ naive T-cells_IRIS_1,13,1,0.0195036205451463,0.191198396247418
CD4+ T cell | Human | CellMarker,CellMarker,Human,,CD4+ T cell,13,1,0.0195036205451463,0.191198396247418
Eosinophils | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Eosinophils,13,1,0.0195036205451463,0.191198396247418
pDC_NOVERSHTERN_3 | Human | xCell,xCell,Human,,pDC_NOVERSHTERN_3,13,1,0.0195036205451463,0.191198396247418
CD4+ naive T-cells_FANTOM_1 | Human | xCell,xCell,Human,,CD4+ naive T-cells_FANTOM_1,14,1,0.0209887319529477,0.203785164233253
CD4+ naive T-cells_NOVERSHTERN_3 | Human | xCell,xCell,Human,,CD4+ naive T-cells_NOVERSHTERN_3,14,1,0.0209887319529477,0.203785164233253
Microglial cell | Brain | Human | CellMarker,CellMarker,Human,Brain,Microglial cell,14,1,0.0209887319529477,0.203785164233253
Leukocyte | Human | TISSUES,TISSUES,Human,,Leukocyte,724,4,0.0229644639962873,0.22225798116152
CD4+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD4+ T cell,16,1,0.0239525024395985,0.230353338335252
Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker,CellMarker,Human,,Immune cell (Renal Clear Cell Carcinoma),15,1,0.0239525024395985,0.230353338335252
CD8+ Tcm_NOVERSHTERN_2 | Human | xCell,xCell,Human,,CD8+ Tcm_NOVERSHTERN_2,17,1,0.0254311674668602,0.242273723924101
Lymphocyte | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Lymphocyte,16,1,0.0254311674668602,0.242273723924101
Tear | Human | TISSUES,TISSUES,Human,,Tear,15,1,0.0254311674668602,0.242273723924101
AIZARANI_LIVER_C6_KUPFFER_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C6_KUPFFER_CELLS_2,167,2,0.0266871234387113,0.253444275407011
Hematopoietic cell | Human | TISSUES,TISSUES,Human,,Hematopoietic cell,765,4,0.0274001535991493,0.259405192485404
Schwalie et al.Nature.G3 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G3,156,2,0.0275704265303877,0.260206603185864
Eosinophils | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Eosinophils,18,1,0.0283820719309124,0.266213322833465
T helper1 (Th1) cell | Human | CellMarker,CellMarker,Human,,T helper1 (Th1) cell,19,1,0.0283820719309124,0.266213322833465
CD34+ CELL | ARCHS4,ARCHS4,,,CD34+ CELL,1161,5,0.0289269054759807,0.27048881766617
Macrophage | Lacrimal gland | Mouse | CellMarker,CellMarker,Mouse,Lacrimal gland,Macrophage,18,1,0.0298543172926351,0.275766778882426
Martinotti cell | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Martinotti cell,20,1,0.0298543172926351,0.275766778882426
Mesenchymal stromal cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Mesenchymal stromal cell,20,1,0.0298543172926351,0.275766778882426
pDC_FANTOM_3 | Human | xCell,xCell,Human,,pDC_FANTOM_3,15,1,0.0298543172926351,0.275766778882426
ALVEOLAR MACROPHAGE | ARCHS4,ARCHS4,,,ALVEOLAR MACROPHAGE,1182,5,0.0307403471788889,0.283090651747404
Neutrophil | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Neutrophil,21,1,0.0313244286842722,0.285870687001511
Trophoblast cells | Embryo | Mouse | PanglaoDB,PanglaoDB,Mouse,Embryo,Trophoblast cells,21,1,0.0313244286842722,0.285870687001511
Urine | Human | TISSUES,TISSUES,Human,,Urine,20,1,0.0313244286842722,0.285870687001511
Brush cell (Tuft cell) | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Brush cell (Tuft cell),166,2,0.0324782775833517,0.295513429867682
CD8+ Tcm_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD8+ Tcm_NOVERSHTERN_1,22,1,0.0327924090585399,0.295715522637693
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS,22,1,0.0327924090585399,0.295715522637693
Mesangial cells_FANTOM_2 | Human | xCell,xCell,Human,,Mesangial cells_FANTOM_2,22,1,0.0327924090585399,0.295715522637693
CD4+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_2,23,1,0.0342582613642628,0.305310428991187
MPP_FANTOM_3 | Human | xCell,xCell,Human,,MPP_FANTOM_3,23,1,0.0342582613642628,0.305310428991187
Type I pneumocyte | Lung | Mouse | CellMarker,CellMarker,Mouse,Lung,Type I pneumocyte,23,1,0.0342582613642628,0.305310428991187
ZHONG_PFC_C2_THY1_POS_OPC | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_C2_THY1_POS_OPC,23,1,0.0342582613642628,0.305310428991187
CD4+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_3,24,1,0.0357219885463796,0.316498901435708
T helper cell | Human | CellMarker,CellMarker,Human,,T helper cell,24,1,0.0357219885463796,0.316498901435708
Exhausted CD8+ T cell (Hepatocellular Cancer) | Liver | Human | CellMarker,CellMarker,Human,Liver,Exhausted CD8+ T cell (Hepatocellular Cancer),198,2,0.0360385649957814,0.318375578552848
CD4+ T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_1,25,1,0.0371835935459468,0.324715347086587
Pancreatic stellate cells | Pancreas | Human | PanglaoDB,PanglaoDB,Human,Pancreas,Pancreatic stellate cells,25,1,0.0371835935459468,0.324715347086587
Pancreatic stellate cells | Pancreas | Mouse | PanglaoDB,PanglaoDB,Mouse,Pancreas,Pancreatic stellate cells,25,1,0.0371835935459468,0.324715347086587
Platelet | Blood | Human | CellMarker,CellMarker,Human,Blood,Platelet,25,1,0.0371835935459468,0.324715347086587
Pulmonary alveolar type I cells | Lungs | Human | PanglaoDB,PanglaoDB,Human,Lungs,Pulmonary alveolar type I cells,26,1,0.0386430793001451,0.33466554592342
Pulmonary alveolar type I cells | Lungs | Mouse | PanglaoDB,PanglaoDB,Mouse,Lungs,Pulmonary alveolar type I cells,26,1,0.0386430793001451,0.33466554592342
MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_MESENCHYMAL_STROMAL_CELL,500,3,0.0386533749980653,0.33466554592342
CUI_DEVELOPING_HEART_C8_MACROPHAGE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C8_MACROPHAGE,196,2,0.0390599022446066,0.336269243403285
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,206,2,0.0390599022446066,0.336269243403285
Trophoblast cells | Embryo | Human | PanglaoDB,PanglaoDB,Human,Embryo,Trophoblast cells,26,1,0.040100448742281,0.344252157423141
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MONOCYTES,27,1,0.0415557048017979,0.355740244768067
Lymphocyte | Human | TISSUES,TISSUES,Human,,Lymphocyte,520,3,0.0430476933625487,0.366448011565226
Lymphoid cell | Human | TISSUES,TISSUES,Human,,Lymphoid cell,520,3,0.0430476933625487,0.366448011565226
