celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Smooth muscle_HPCA_1 | Human | xCell,xCell,Human,,Smooth muscle_HPCA_1,6,1,0.007086352836432,0.11578186166622
T cell | Artery | Human | CellMarker,CellMarker,Human,Artery,T cell,6,1,0.007086352836432,0.11578186166622
T cell | Liver | Mouse | CellMarker,CellMarker,Mouse,Liver,T cell,6,1,0.007086352836432,0.11578186166622
T cell | Lung | Human | CellMarker,CellMarker,Human,Lung,T cell,6,1,0.007086352836432,0.11578186166622
T cell | Lymph node | Human | CellMarker,CellMarker,Human,Lymph node,T cell,6,1,0.007086352836432,0.11578186166622
T helper1 (Th1) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T helper1 (Th1) cell,6,1,0.007086352836432,0.11578186166622
FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BIG_GROUPS_CAJAL_RETZIUS,345,3,0.0074638521204869,0.118446326709855
FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_EFFECTOR_T_CELL,94,2,0.00749365202598261,0.118446326709855
AIZARANI_LIVER_C1_NK_NKT_CELLS_1 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C1_NK_NKT_CELLS_1,103,2,0.00762456785912067,0.118446326709855
Intestine | Mouse | TISSUES,TISSUES,Mouse,,Intestine,109,2,0.00762456785912067,0.118446326709855
CUI_DEVELOPING_HEART_C7_MAST_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C7_MAST_CELL,113,2,0.00775652301580416,0.118446326709855
LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C24_ENDOTHELIAL_CELLS_AEA_AND_DVR,114,2,0.00788951513482921,0.118446326709855
Activated CD4+ T cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Activated CD4+ T cell,7,1,0.00826279080700532,0.118446326709855
Adipose-derived stem cell | Abdominal adipose tissue | Human | CellMarker,CellMarker,Human,Abdominal adipose tissue,Adipose-derived stem cell,7,1,0.00826279080700532,0.118446326709855
Adipose-derived stem cell | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Adipose-derived stem cell,7,1,0.00826279080700532,0.118446326709855
Cancer cell (Breast Cancer (circulating)) | Blood | Human | CellMarker,CellMarker,Human,Blood,Cancer cell (Breast Cancer (circulating)),7,1,0.00826279080700532,0.118446326709855
CD8+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD8+ T cell,7,1,0.00826279080700532,0.118446326709855
Keratinocyte | Skin | Human | CellMarker,CellMarker,Human,Skin,Keratinocyte,7,1,0.00826279080700532,0.118446326709855
Mesenchymal stem cell | Fat pad | Human | CellMarker,CellMarker,Human,Fat pad,Mesenchymal stem cell,7,1,0.00826279080700532,0.118446326709855
Mesenchymal stem cell | Placenta | Human | CellMarker,CellMarker,Human,Placenta,Mesenchymal stem cell,7,1,0.00826279080700532,0.118446326709855
Mesenchymal stem cell | Umbilical cord | Human | CellMarker,CellMarker,Human,Umbilical cord,Mesenchymal stem cell,7,1,0.00826279080700532,0.118446326709855
Natural killer T (NKT) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer T (NKT) cell,7,1,0.00826279080700532,0.118446326709855
Spermatogonium | Testis | Human | CellMarker,CellMarker,Human,Testis,Spermatogonium,7,1,0.00826279080700532,0.118446326709855
Stem cell | Adipose tissue | Human | CellMarker,CellMarker,Human,Adipose tissue,Stem cell,7,1,0.00826279080700532,0.118446326709855
T cell (AIDS-related Non-hodgkin's Lymphoma) | Human | CellMarker,CellMarker,Human,,T cell (AIDS-related Non-hodgkin's Lymphoma),7,1,0.00826279080700532,0.118446326709855
T cell | Lymphoid tissue | Mouse | CellMarker,CellMarker,Mouse,Lymphoid tissue,T cell,6,1,0.00826279080700532,0.118446326709855
T cell | Thymus | Human | CellMarker,CellMarker,Human,Thymus,T cell,7,1,0.00826279080700532,0.118446326709855
T cytotoxic cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T cytotoxic cells,7,1,0.00826279080700532,0.118446326709855
T cytotoxic cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T cytotoxic cells,7,1,0.00826279080700532,0.118446326709855
T follicular helper cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T follicular helper cells,7,1,0.00826279080700532,0.118446326709855
T follicular helper cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T follicular helper cells,7,1,0.00826279080700532,0.118446326709855
T helper9 (Th9) cell | Human | CellMarker,CellMarker,Human,,T helper9 (Th9) cell,7,1,0.00826279080700532,0.118446326709855
Oligodendrocyte | Brain | Human | CellMarker,CellMarker,Human,Brain,Oligodendrocyte,117,2,0.00843180613616817,0.120301684731526
AIZARANI_LIVER_C3_NK_NKT_CELLS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C3_NK_NKT_CELLS_2,120,2,0.00927595235713501,0.126910687224489
aDC_IRIS_2 | Human | xCell,xCell,Human,,aDC_IRIS_2,124,2,0.00942019624881243,0.126910687224489
Dental pulp stem cell | Dental pulp | Human | CellMarker,CellMarker,Human,Dental pulp,Dental pulp stem cell,8,1,0.00943791224505908,0.126910687224489
Epidermal stem cell | Skin | Human | CellMarker,CellMarker,Human,Skin,Epidermal stem cell,8,1,0.00943791224505908,0.126910687224489
Fibroblast | Lung | Human | CellMarker,CellMarker,Human,Lung,Fibroblast,8,1,0.00943791224505908,0.126910687224489
Mesenchymal stem cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Mesenchymal stem cell,8,1,0.00943791224505908,0.126910687224489
Mesenchymal stem cell | Skeletal muscle | Human | CellMarker,CellMarker,Human,Skeletal muscle,Mesenchymal stem cell,8,1,0.00943791224505908,0.126910687224489
Multiple pluripotent progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Multiple pluripotent progenitor cell,8,1,0.00943791224505908,0.126910687224489
Myeloid progenitor cell | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Myeloid progenitor cell,8,1,0.00943791224505908,0.126910687224489
Stem cell | Bone | Mouse | CellMarker,CellMarker,Mouse,Bone,Stem cell,7,1,0.00943791224505908,0.126910687224489
Stromal cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Stromal cell,8,1,0.00943791224505908,0.126910687224489
T cell | Lung | Mouse | CellMarker,CellMarker,Mouse,Lung,T cell,8,1,0.00943791224505908,0.126910687224489
T helper17 (Th17) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T helper17 (Th17) cell,8,1,0.00943791224505908,0.126910687224489
Mast cell | Mouse | TISSUES,TISSUES,Mouse,,Mast cell,117,2,0.0100072377596847,0.133973548685823
AIZARANI_LIVER_C25_KUPFFER_CELLS_4 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C25_KUPFFER_CELLS_4,129,2,0.0101565030762099,0.134370885978936
Transit amplifying (TA) cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Transit amplifying (TA) cell,106,2,0.0101565030762099,0.134370885978936
CUI_DEVELOPING_HEART_C9_B_T_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_C9_B_T_CELL,116,2,0.0103067657617326,0.134370885978936
Endothelial cell | Lung | Mouse | CellMarker,CellMarker,Mouse,Lung,Endothelial cell,119,2,0.0103067657617326,0.134370885978936
Adipose-derived stem cell | Subcutaneous adipose tissue | Human | CellMarker,CellMarker,Human,Subcutaneous adipose tissue,Adipose-derived stem cell,9,1,0.0106117185373296,0.134370885978936
CD8+ cytotoxic T cell | Human | CellMarker,CellMarker,Human,,CD8+ cytotoxic T cell,9,1,0.0106117185373296,0.134370885978936
CD8+ T cell | Human | CellMarker,CellMarker,Human,,CD8+ T cell,9,1,0.0106117185373296,0.134370885978936
CLP_BLUEPRINT_1 | Human | xCell,xCell,Human,,CLP_BLUEPRINT_1,9,1,0.0106117185373296,0.134370885978936
Embryonic stem cell | Germ | Human | CellMarker,CellMarker,Human,Germ,Embryonic stem cell,9,1,0.0106117185373296,0.134370885978936
Epithelial cell | Kidney | Human | CellMarker,CellMarker,Human,Kidney,Epithelial cell,9,1,0.0106117185373296,0.134370885978936
Exhausted T cell | Human | CellMarker,CellMarker,Human,,Exhausted T cell,9,1,0.0106117185373296,0.134370885978936
Glial cell | Human | CellMarker,CellMarker,Human,,Glial cell,9,1,0.0106117185373296,0.134370885978936
T cell | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,T cell,8,1,0.0106117185373296,0.134370885978936
Alimentary canal | Mouse | TISSUES,TISSUES,Mouse,,Alimentary canal,126,2,0.0107635150789688,0.134610379938214
Gastrointestinal tract | Mouse | TISSUES,TISSUES,Mouse,,Gastrointestinal tract,126,2,0.0107635150789688,0.134610379938214
Medullary cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Medullary cell,130,2,0.0107635150789688,0.134610379938214
AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C24_EPCAM_POS_BILE_DUCT_CELLS_3,138,2,0.0113863383795835,0.141815911211288
Cardiac progenitor cell | Heart | Human | CellMarker,CellMarker,Human,Heart,Cardiac progenitor cell,10,1,0.0117842110691837,0.143248869756997
Hematopoietic cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Hematopoietic cell,10,1,0.0117842110691837,0.143248869756997
Pericyte | Human | CellMarker,CellMarker,Human,,Pericyte,10,1,0.0117842110691837,0.143248869756997
Stem cell | Amniotic fluid | Human | CellMarker,CellMarker,Human,Amniotic fluid,Stem cell,10,1,0.0117842110691837,0.143248869756997
Stem cell | Mammary gland | Mouse | CellMarker,CellMarker,Mouse,Mammary gland,Stem cell,7,1,0.0117842110691837,0.143248869756997
T cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T cell,10,1,0.0117842110691837,0.143248869756997
CD4+ memory T-cells_FANTOM_1 | Human | xCell,xCell,Human,,CD4+ memory T-cells_FANTOM_1,142,2,0.0120248271990942,0.145591433697399
HAY_BONE_MARROW_DENDRITIC_CELL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_DENDRITIC_CELL,143,2,0.0123499008668468,0.148345251914416
Smooth muscle_FANTOM_1 | Human | xCell,xCell,Human,,Smooth muscle_FANTOM_1,144,2,0.0123499008668468,0.148345251914416
Adipose-derived stromal cell | Adipose tissue | Human | CellMarker,CellMarker,Human,Adipose tissue,Adipose-derived stromal cell,11,1,0.0129553912246189,0.150848405868263
Endothelial stem cell | Blood vessel | Human | CellMarker,CellMarker,Human,Blood vessel,Endothelial stem cell,11,1,0.0129553912246189,0.150848405868263
Granulocyte | Spleen | Mouse | CellMarker,CellMarker,Mouse,Spleen,Granulocyte,8,1,0.0129553912246189,0.150848405868263
Mesenchymal cell (Ovarian Cancer) | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Mesenchymal cell (Ovarian Cancer),11,1,0.0129553912246189,0.150848405868263
Mesenchymal cell | Ovary | Human | CellMarker,CellMarker,Human,Ovary,Mesenchymal cell,11,1,0.0129553912246189,0.150848405868263
Sertoli cell | Human | CellMarker,CellMarker,Human,,Sertoli cell,11,1,0.0129553912246189,0.150848405868263
T helper cell | Liver | Human | CellMarker,CellMarker,Human,Liver,T helper cell,11,1,0.0129553912246189,0.150848405868263
Urine-derived stem cell | Urine | Human | CellMarker,CellMarker,Human,Urine,Urine-derived stem cell,11,1,0.0129553912246189,0.150848405868263
HAY_BONE_MARROW_IMMATURE_NEUTROPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_IMMATURE_NEUTROPHIL,148,2,0.0130116165816347,0.150924819815221
CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_VASCULAR_ENDOTHELIAL_CELL,149,2,0.0131794424999426,0.152290212005041
MENON_FETAL_KIDNEY_4_PODOCYTES | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_4_PODOCYTES,150,2,0.0133482227401034,0.153656245860509
Mesangial cell | Kidney | Mouse | CellMarker,CellMarker,Mouse,Kidney,Mesangial cell,149,2,0.0140328423513999,0.158400982708001
Cancer stem cell (Breast Cancer) | Mouse | CellMarker,CellMarker,Mouse,,Cancer stem cell (Breast Cancer),11,1,0.0141252603862679,0.158400982708001
Cardiomyocyte | Embryo | Mouse | CellMarker,CellMarker,Mouse,Embryo,Cardiomyocyte,11,1,0.0141252603862679,0.158400982708001
CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_COMPACT_ATRIAL_CARDIOMYOCYTE,12,1,0.0141252603862679,0.158400982708001
Cytotoxic T cell | Mouse | CellMarker,CellMarker,Mouse,,Cytotoxic T cell,12,1,0.0141252603862679,0.158400982708001
Mesenchymal stem cell | Ligament | Human | CellMarker,CellMarker,Human,Ligament,Mesenchymal stem cell,12,1,0.0141252603862679,0.158400982708001
Natural killer cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Natural killer cell,12,1,0.0141252603862679,0.158400982708001
Lymphoma cell | Human | TISSUES,TISSUES,Human,,Lymphoma cell,150,2,0.0143808202459794,0.160673943851219
Fibroblast | Human | TISSUES,TISSUES,Human,,Fibroblast,161,2,0.0152671550183141,0.163080416784791
Activated T cell | Human | CellMarker,CellMarker,Human,,Activated T cell,13,1,0.015293819935395,0.163080416784791
Cancer stem cell (Prostate Cancer) | Prostate | Human | CellMarker,CellMarker,Human,Prostate,Cancer stem cell (Prostate Cancer),13,1,0.015293819935395,0.163080416784791
CD4+ T cell | Human | CellMarker,CellMarker,Human,,CD4+ T cell,13,1,0.015293819935395,0.163080416784791
CLP_BLUEPRINT_2 | Human | xCell,xCell,Human,,CLP_BLUEPRINT_2,13,1,0.015293819935395,0.163080416784791
Cytotoxic T cell | Human | CellMarker,CellMarker,Human,,Cytotoxic T cell,13,1,0.015293819935395,0.163080416784791
Embryonic stem cell | Mouse | CellMarker,CellMarker,Mouse,,Embryonic stem cell,10,1,0.015293819935395,0.163080416784791
Granulosa cells | Reproductive | Human | PanglaoDB,PanglaoDB,Human,Reproductive,Granulosa cells,13,1,0.015293819935395,0.163080416784791
Granulosa cells | Reproductive | Mouse | PanglaoDB,PanglaoDB,Mouse,Reproductive,Granulosa cells,13,1,0.015293819935395,0.163080416784791
Mesoderm cell | Germ | Human | CellMarker,CellMarker,Human,Germ,Mesoderm cell,13,1,0.015293819935395,0.163080416784791
Oviduct-derived stem cell | Oviduct | Human | CellMarker,CellMarker,Human,Oviduct,Oviduct-derived stem cell,13,1,0.015293819935395,0.163080416784791
Stem cell | Muscle | Human | CellMarker,CellMarker,Human,Muscle,Stem cell,13,1,0.015293819935395,0.163080416784791
T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,T cell,13,1,0.015293819935395,0.163080416784791
Connective tissue | Mouse | TISSUES,TISSUES,Mouse,,Connective tissue,1710,6,0.0158719662535344,0.168653515540179
Embryonic fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Embryonic fibroblast,786,4,0.0161623844437699,0.17114106733316
Follicular helper (Tfh) T cell | Human | CellMarker,CellMarker,Human,,Follicular helper (Tfh) T cell,14,1,0.0164610712519022,0.172500674257003
Mast cell | Human | CellMarker,CellMarker,Human,,Mast cell,14,1,0.0164610712519022,0.172500674257003
Mesenchymal stem cell | Bone marrow | Human | CellMarker,CellMarker,Human,Bone marrow,Mesenchymal stem cell,14,1,0.0164610712519022,0.172500674257003
Schwalie et al.Nature.G2 | Adipose tissue | Mouse | CellMarker,CellMarker,Mouse,Adipose tissue,Schwalie et al.Nature.G2,154,2,0.0174884731070413,0.181588138155395
aDC_IRIS_1 | Human | xCell,xCell,Human,,aDC_IRIS_1,14,1,0.0176270157143276,0.181588138155395
Cancer stem cell (Colorectum Cancer) | Colorectum | Human | CellMarker,CellMarker,Human,Colorectum,Cancer stem cell (Colorectum Cancer),15,1,0.0176270157143276,0.181588138155395
CD8+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD8+ T-cells_HPCA_2,15,1,0.0176270157143276,0.181588138155395
Endometrial stem cell | Endometrium | Human | CellMarker,CellMarker,Human,Endometrium,Endometrial stem cell,15,1,0.0176270157143276,0.181588138155395
Heart | Human | TISSUES,TISSUES,Human,,Heart,481,3,0.018244583218337,0.186626923636717
Fibroblast | Mouse | TISSUES,TISSUES,Mouse,,Fibroblast,816,4,0.0184197637110501,0.186626923636717
FAN_EMBRYONIC_CTX_NSC_2 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_NSC_2,177,2,0.0184525599623834,0.186626923636717
Cancer stem cell | Prostate | Human | CellMarker,CellMarker,Human,Prostate,Cancer stem cell,16,1,0.0187916546998471,0.186626923636717
CD4+ T cell | Mouse | CellMarker,CellMarker,Mouse,,CD4+ T cell,16,1,0.0187916546998471,0.186626923636717
Embryonic stem cell | Human | CellMarker,CellMarker,Human,,Embryonic stem cell,16,1,0.0187916546998471,0.186626923636717
FAN_EMBRYONIC_CTX_NSC_1 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_NSC_1,16,1,0.0187916546998471,0.186626923636717
Immune cell (Renal Clear Cell Carcinoma) | Human | CellMarker,CellMarker,Human,,Immune cell (Renal Clear Cell Carcinoma),15,1,0.0187916546998471,0.186626923636717
Mesenchymal stem cell | Bone | Human | CellMarker,CellMarker,Human,Bone,Mesenchymal stem cell,16,1,0.0187916546998471,0.186626923636717
Mesenchymal stem cell | Muscle | Human | CellMarker,CellMarker,Human,Muscle,Mesenchymal stem cell,16,1,0.0187916546998471,0.186626923636717
Mesenchymal stem cell | Tendon | Human | CellMarker,CellMarker,Human,Tendon,Mesenchymal stem cell,16,1,0.0187916546998471,0.186626923636717
Ciliated cell | Lung | Human | CellMarker,CellMarker,Human,Lung,Ciliated cell,182,2,0.0194389220646452,0.192085765508539
Type II spiral ganglion neuron | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Type II spiral ganglion neuron,464,3,0.0194677248360086,0.192085765508539
Adipose-derived stem cell | Adipose tissue | Human | CellMarker,CellMarker,Human,Adipose tissue,Adipose-derived stem cell,17,1,0.0199549895842758,0.195623268860045
Lymphocyte | Bone marrow | Mouse | CellMarker,CellMarker,Mouse,Bone marrow,Lymphocyte,16,1,0.0199549895842758,0.195623268860045
MENON_FETAL_KIDNEY_7_LOOPOF_HENLE_CELLS_DISTAL | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_7_LOOPOF_HENLE_CELLS_DISTAL,185,2,0.0200413207836836,0.19583785807593
Skeletal system | Mouse | TISSUES,TISSUES,Mouse,,Skeletal system,178,2,0.0202438712337786,0.197183091921324
Enterocyte | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Enterocyte,12,1,0.021117021742071,0.204377799599216
Mesenchymal stem cell | Cartilage | Human | CellMarker,CellMarker,Human,Cartilage,Mesenchymal stem cell,18,1,0.021117021742071,0.204377799599216
BONE MARROW (BULK TISSUE) | ARCHS4,ARCHS4,,,BONE MARROW (BULK TISSUE),916,4,0.0217035773032717,0.209387845792517
Cancer stem cell (Colorectal Cancer) | Human | CellMarker,CellMarker,Human,,Cancer stem cell (Colorectal Cancer),19,1,0.0222777525463291,0.213274588927944
Erythroblasts | Blood | Mouse | PanglaoDB,PanglaoDB,Mouse,Blood,Erythroblasts,19,1,0.0222777525463291,0.213274588927944
MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS | Human | MSigDB,MSigDB,Human,,MENON_FETAL_KIDNEY_8_CONNECTING_TUBULE_CELLS,197,2,0.022316985613388,0.213274588927944
Hepatoma cell | Human | TISSUES,TISSUES,Human,,Hepatoma cell,198,2,0.0229556098704456,0.218689963624715
MURARO_PANCREAS_DUCTAL_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_DUCTAL_CELL,935,4,0.0231138233918944,0.219509091524897
Erythroblasts | Blood | Human | PanglaoDB,PanglaoDB,Human,Blood,Erythroblasts,20,1,0.023437183368792,0.219832099560984
Mesenchymal stem cell | Adipose tissue | Human | CellMarker,CellMarker,Human,Adipose tissue,Mesenchymal stem cell,20,1,0.023437183368792,0.219832099560984
Smooth muscle_ENCODE_2 | Human | xCell,xCell,Human,,Smooth muscle_ENCODE_2,20,1,0.023437183368792,0.219832099560984
Smooth muscle_FANTOM_2 | Human | xCell,xCell,Human,,Smooth muscle_FANTOM_2,20,1,0.023437183368792,0.219832099560984
LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C9_THIN_ASCENDING_LIMB,206,2,0.0246956299275597,0.230923136461089
Liver cancer cell | Human | TISSUES,TISSUES,Human,,Liver cancer cell,208,2,0.025138960178501,0.233630886796528
T-lymphocyte | Human | TISSUES,TISSUES,Human,,T-lymphocyte,210,2,0.025138960178501,0.233630886796528
HEPATIC STELLATE CELL | ARCHS4,ARCHS4,,,HEPATIC STELLATE CELL,1466,5,0.0254922386493496,0.236191808705406
Cancer stem cell (Prostate Cancer) | Human | CellMarker,CellMarker,Human,,Cancer stem cell (Prostate Cancer),22,1,0.0257521505485188,0.236437418480207
Early enterocyte precursor cell | Intestinal crypt | Mouse | CellMarker,CellMarker,Mouse,Intestinal crypt,Early enterocyte precursor cell,18,1,0.0257521505485188,0.236437418480207
Naive CD4+ T cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Naive CD4+ T cell,22,1,0.0257521505485188,0.236437418480207
Cancer stem cell (Breast Cancer) | Human | CellMarker,CellMarker,Human,,Cancer stem cell (Breast Cancer),23,1,0.0269076896424912,0.241930381134707
CD4+ T-cells_HPCA_2 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_2,23,1,0.0269076896424912,0.241930381134707
Luteal cells | Reproductive | Human | PanglaoDB,PanglaoDB,Human,Reproductive,Luteal cells,23,1,0.0269076896424912,0.241930381134707
Luteal cells | Reproductive | Mouse | PanglaoDB,PanglaoDB,Mouse,Reproductive,Luteal cells,23,1,0.0269076896424912,0.241930381134707
Regulatory T (Treg) cell | Mouse | CellMarker,CellMarker,Mouse,,Regulatory T (Treg) cell,23,1,0.0269076896424912,0.241930381134707
Small intestine | Mouse | TISSUES,TISSUES,Mouse,,Small intestine,23,1,0.0269076896424912,0.241930381134707
Stromal cell | Human | CellMarker,CellMarker,Human,,Stromal cell,22,1,0.0269076896424912,0.241930381134707
CD4+ T-cells_HPCA_3 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_3,24,1,0.0280619342280884,0.249357362921523
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_COLUMNAR_CELLS | Human | MSigDB,MSigDB,Human,,DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_RESPIRATORY_COLUMNAR_CELLS,22,1,0.0280619342280884,0.249357362921523
T helper cell | Human | CellMarker,CellMarker,Human,,T helper cell,24,1,0.0280619342280884,0.249357362921523
T helper17 (Th17) cell | Human | CellMarker,CellMarker,Human,,T helper17 (Th17) cell,24,1,0.0280619342280884,0.249357362921523
BLOOD PBMC | ARCHS4,ARCHS4,,,BLOOD PBMC,1489,5,0.0289933639590728,0.254395523071628
Acute myeloid leukemia cell | Human | TISSUES,TISSUES,Human,,Acute myeloid leukemia cell,25,1,0.0292148856702856,0.254395523071628
Acute promyelocytic leukemia cell | Human | TISSUES,TISSUES,Human,,Acute promyelocytic leukemia cell,25,1,0.0292148856702856,0.254395523071628
CD4+ T-cells_HPCA_1 | Human | xCell,xCell,Human,,CD4+ T-cells_HPCA_1,25,1,0.0292148856702856,0.254395523071628
Coronary artery | Human | TISSUES,TISSUES,Human,,Coronary artery,25,1,0.0292148856702856,0.254395523071628
CUI_DEVELOPING_HEART_LEFT_VENTRICULAR_CARDIOMYOCYTE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_LEFT_VENTRICULAR_CARDIOMYOCYTE,25,1,0.0292148856702856,0.254395523071628
Platelet | Blood | Human | CellMarker,CellMarker,Human,Blood,Platelet,25,1,0.0292148856702856,0.254395523071628
FIBROBLAST | ARCHS4,ARCHS4,,,FIBROBLAST,1530,5,0.0301773899426285,0.261427567326063
Induced pluripotent stem cell | Human | CellMarker,CellMarker,Human,,Induced pluripotent stem cell,25,1,0.0303665453327082,0.261427567326063
Interneuron | Embryonic prefrontal cortex | Human | CellMarker,CellMarker,Human,Embryonic prefrontal cortex,Interneuron,26,1,0.0303665453327082,0.261427567326063
Monocyte | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Monocyte,26,1,0.0303665453327082,0.261427567326063
Thorax | Human | TISSUES,TISSUES,Human,,Thorax,583,3,0.0311600424991823,0.267501042810777
ZHONG_PFC_MAJOR_TYPES_ASTROCYTES | Human | MSigDB,MSigDB,Human,,ZHONG_PFC_MAJOR_TYPES_ASTROCYTES,233,2,0.0319296802710672,0.273336051672601
AIZARANI_LIVER_C29_MVECS_2 | Human | MSigDB,MSigDB,Human,,AIZARANI_LIVER_C29_MVECS_2,240,2,0.0324223241751924,0.276555700073244
CUI_DEVELOPING_HEART_5TH_WEEK_ATRIAL_CARDIOMYOCYTE | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_5TH_WEEK_ATRIAL_CARDIOMYOCYTE,28,1,0.0326659947659929,0.276555700073244
LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA | Human | MSigDB,MSigDB,Human,,LAKE_ADULT_KIDNEY_C19_COLLECTING_DUCT_INTERCALATED_CELLS_TYPE_A_MEDULLA,239,2,0.032669791486112,0.276555700073244
Umbilical cord blood | Human | TISSUES,TISSUES,Human,,Umbilical cord blood,241,2,0.032669791486112,0.276555700073244
Lens | Human | TISSUES,TISSUES,Human,,Lens,29,1,0.0338137872573716,0.284654015166627
T helper cell | Mouse | CellMarker,CellMarker,Mouse,,T helper cell,29,1,0.0338137872573716,0.284654015166627
Lymphoblast | Human | TISSUES,TISSUES,Human,,Lymphoblast,245,2,0.033918504427216,0.284746781641738
Melanoma cell line | Human | TISSUES,TISSUES,Human,,Melanoma cell line,252,2,0.0351860019994706,0.294573719218709
Circulating fetal cell | Blood | Human | CellMarker,CellMarker,Human,Blood,Circulating fetal cell,30,1,0.0361055145808045,0.300615503591958
HU_FETAL_RETINA_MULLER | Human | MSigDB,MSigDB,Human,,HU_FETAL_RETINA_MULLER,31,1,0.0361055145808045,0.300615503591958
Basophils_NOVERSHTERN_1 | Human | xCell,xCell,Human,,Basophils_NOVERSHTERN_1,31,1,0.0372494521253121,0.308449822912325
Enteroendocrine cell | Small intestine | Mouse | CellMarker,CellMarker,Mouse,Small intestine,Enteroendocrine cell,31,1,0.0372494521253121,0.308449822912325
MANNO_MIDBRAIN_NEUROTYPES_HENDO | Human | MSigDB,MSigDB,Human,,MANNO_MIDBRAIN_NEUROTYPES_HENDO,643,3,0.0390548740849417,0.322521093326462
